loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets
1188,3,Graduate,Yes,8600,30300,14,459,24000,8200,47600,18200,Approved,98000
1189,3,Not Graduate,No,6900,26000,14,828,29600,8400,37000,7200,Approved,82200
1190,4,Graduate,No,9600,27500,20,679,46800,15000,75600,12600,Approved,150000
1191,2,Graduate,Yes,8100,25700,8,455,44600,23000,39600,19000,Approved,126200
1192,0,Not Graduate,No,2600,9400,18,879,5600,2800,10200,4600,Approved,23200
1193,3,Graduate,Yes,9300,26100,14,636,9400,32200,69000,23200,Approved,133800
1194,2,Not Graduate,Yes,2100,5600,16,426,800,600,14200,2400,Approved,18000
1195,4,Not Graduate,Yes,9000,21500,14,508,33200,34600,48600,26200,Approved,142600
1196,3,Not Graduate,Yes,7000,19200,4,768,17200,27400,38400,15400,Approved,98400
1197,3,Not Graduate,No,2200,6400,20,667,12600,7800,16600,5800,Approved,42800
1198,5,Graduate,Yes,7500,28200,2,440,16400,11600,48800,12000,Approved,88800
1199,1,Graduate,Yes,8300,16800,2,366,44000,13200,54600,9000,Rejected,120800
1200,2,Not Graduate,No,300,600,2,383,1200,600,2200,800,Rejected,4800
1201,0,Not Graduate,Yes,300,800,4,603,1600,400,1200,400,Approved,3600
1202,3,Graduate,No,3900,14900,4,728,9400,8000,29800,11000,Approved,58200
1203,0,Not Graduate,No,6600,20300,6,549,21600,1800,46200,19600,Approved,89200
1204,0,Graduate,No,4100,10700,8,855,23000,1400,22400,6200,Approved,53000
1205,5,Graduate,Yes,1800,5300,12,461,5600,4000,9400,4000,Approved,23000
1206,3,Not Graduate,Yes,7000,16100,16,379,4000,10400,46000,20000,Rejected,80400
1207,2,Not Graduate,Yes,5100,13700,6,559,15600,19600,25400,10200,Approved,70800
1208,1,Not Graduate,Yes,300,600,8,816,1200,600,2200,400,Approved,4400
1209,4,Not Graduate,Yes,4300,11400,2,560,20000,7800,17800,6600,Rejected,52200
1210,0,Graduate,Yes,3200,12000,14,645,10400,2800,24200,6800,Approved,44200
1211,4,Not Graduate,Yes,4200,11500,6,551,21200,15200,22600,10000,Approved,69000
1212,0,Not Graduate,Yes,9600,22900,8,515,8600,29400,66600,15600,Approved,120200
1213,4,Graduate,No,1300,3600,10,657,6400,3800,5800,2200,Approved,18200
1214,3,Not Graduate,No,2400,9300,2,682,6200,8800,10400,3000,Rejected,28400
1215,0,Graduate,No,600,1600,10,588,3200,200,2200,600,Approved,6200
1216,5,Graduate,Yes,9600,38000,10,359,4200,27200,76400,18800,Rejected,126600
1217,0,Graduate,No,400,1200,4,766,1800,600,2400,600,Approved,5400
1218,4,Graduate,No,5900,19900,14,469,28400,13600,44200,6400,Approved,92600
1219,0,Graduate,Yes,700,1400,10,618,2600,400,3400,1000,Approved,7400
1220,0,Not Graduate,Yes,8600,17700,20,711,44000,0,61600,14800,Approved,120400
1221,0,Graduate,Yes,9000,34000,4,549,4000,17800,40000,24800,Approved,86600
1222,3,Graduate,Yes,5100,20400,6,754,3400,5200,23600,15200,Approved,47400
1223,4,Not Graduate,Yes,500,1500,6,461,2600,1000,3400,400,Approved,7400
1224,2,Graduate,No,1600,3800,10,837,7600,2200,11000,3200,Approved,24000
1225,0,Graduate,Yes,9800,23900,14,459,2000,26800,42200,14400,Approved,85400
1226,4,Graduate,No,7800,29700,20,614,44000,1400,53600,12600,Approved,111600
1227,4,Not Graduate,No,6500,24000,16,373,11200,10200,31200,13400,Rejected,66000
1228,5,Graduate,Yes,7500,26500,12,512,33000,5800,47400,12000,Approved,98200
1229,4,Graduate,Yes,8900,23400,18,781,33000,6200,49800,11600,Approved,100600
1230,4,Graduate,Yes,1800,5800,14,305,1200,6600,7200,4000,Rejected,19000
1231,1,Not Graduate,Yes,7600,27800,6,447,2600,1400,40200,21800,Rejected,66000
1232,4,Graduate,Yes,1200,4600,6,757,3800,400,9600,3000,Approved,16800
1233,5,Graduate,Yes,2700,10400,2,723,5600,1400,20600,2800,Rejected,30400
1234,1,Not Graduate,Yes,4600,10900,12,463,2400,2400,21800,13200,Approved,39800
1235,2,Not Graduate,No,6900,18700,10,699,25600,11400,42400,10400,Approved,89800
1236,4,Graduate,Yes,8400,25200,2,308,16200,18600,55400,21000,Approved,111200
1237,0,Graduate,No,300,500,18,702,600,800,2400,200,Approved,4000
1238,2,Not Graduate,Yes,9500,37500,4,456,20400,33600,68200,25800,Approved,148000
1239,3,Graduate,Yes,1900,5900,8,651,1400,4200,12400,3000,Approved,21000
1240,3,Not Graduate,No,4200,14500,20,840,9000,11800,17800,9200,Approved,47800
1241,4,Graduate,Yes,2200,7900,18,848,10200,3400,17000,3200,Approved,33800
1242,5,Graduate,Yes,7100,19700,4,727,15400,25800,47200,11600,Approved,100000
1243,4,Graduate,No,3500,11600,10,335,12600,10400,20600,4600,Rejected,48200
1244,5,Not Graduate,No,400,800,18,304,1800,1000,2800,800,Rejected,6400
1245,2,Graduate,Yes,8800,34400,2,712,21000,25000,58600,11800,Rejected,116400
1246,0,Not Graduate,No,1800,6600,10,737,10000,4000,12000,3000,Approved,29000
1247,1,Graduate,Yes,7600,29300,14,690,27800,8000,60000,18200,Approved,114000
1248,1,Graduate,Yes,1000,3200,4,888,4000,3000,4400,2600,Approved,14000
1249,2,Not Graduate,Yes,8200,27200,10,839,18400,12800,51000,12000,Approved,94200
1250,5,Not Graduate,Yes,3600,12400,8,333,17600,2000,21400,8000,Rejected,49000
1251,5,Graduate,No,9400,23700,18,862,43000,7000,44800,11200,Approved,106000
1252,5,Not Graduate,No,2600,9100,4,309,12800,2800,11800,6800,Approved,34200
1253,5,Not Graduate,No,9500,30700,10,823,32600,7400,60600,26200,Approved,126800
1254,0,Graduate,Yes,3500,11700,14,649,5400,1400,22800,9600,Approved,39200
1255,5,Not Graduate,Yes,9800,35700,10,726,18800,37800,62400,24000,Approved,143000
1256,4,Graduate,No,800,3100,18,712,800,1400,3800,2200,Approved,8200
1257,0,Not Graduate,No,9700,37300,20,701,24200,32400,48200,21000,Approved,125800
1258,3,Graduate,No,6200,21300,12,655,13000,23200,38400,10000,Approved,84600
1259,1,Not Graduate,Yes,4400,16600,18,385,1600,10600,26800,10200,Rejected,49200
1260,2,Graduate,No,1800,3800,4,777,10200,5400,9200,2800,Approved,27600
1261,3,Graduate,No,1700,5300,14,696,600,1400,9000,1600,Approved,12600
1262,3,Graduate,No,3900,14100,16,496,5000,4400,27400,5800,Approved,42600
1263,2,Graduate,Yes,2200,7900,6,659,6800,3600,17200,4800,Approved,32400
1264,3,Not Graduate,Yes,6300,17700,2,542,33600,1800,32800,10600,Approved,78800
1265,2,Not Graduate,No,2200,8700,18,729,7800,6600,15200,2600,Approved,32200
1266,1,Graduate,No,8100,28400,6,744,40600,21000,43600,15400,Approved,120600
1267,4,Not Graduate,No,6800,17000,2,749,36000,7600,54200,18800,Rejected,116600
1268,0,Graduate,No,4700,14800,20,755,24600,10000,30800,7400,Approved,72800
1269,3,Graduate,Yes,2200,5300,2,506,3200,3400,11600,5600,Approved,23800
1270,3,Graduate,Yes,3500,13000,6,391,12200,7000,26600,8600,Rejected,54400
1271,1,Not Graduate,Yes,3500,11600,10,898,6200,5400,18000,9000,Approved,38600
1272,5,Not Graduate,No,500,1500,12,527,200,1200,2200,400,Approved,4000
1273,5,Not Graduate,No,9900,35800,20,470,19000,36800,78200,29400,Approved,163400
1274,1,Graduate,No,8400,25000,12,694,10600,29800,46000,15400,Approved,101800
1275,1,Graduate,No,5000,18800,14,325,26200,11400,25600,8600,Rejected,71800
1276,4,Not Graduate,Yes,5500,13400,10,880,600,1600,39800,5600,Approved,47600
1277,5,Graduate,Yes,3000,11900,14,459,12000,9600,23400,8400,Approved,53400
1278,3,Not Graduate,Yes,9400,21400,10,323,10200,31000,59200,22600,Rejected,123000
1279,4,Graduate,No,7600,29000,8,739,44200,16200,44200,17600,Approved,122200
1280,0,Not Graduate,Yes,5500,16300,10,724,23800,3000,23800,12400,Approved,63000
1281,1,Graduate,No,3100,7400,18,487,16800,2400,18400,9000,Approved,46600
1282,3,Graduate,No,7700,27700,4,439,27800,15000,54200,12400,Approved,109400
1283,2,Graduate,No,9800,25400,2,655,39800,9200,42600,15800,Rejected,107400
1284,3,Not Graduate,No,3200,9200,14,443,6600,2200,14400,9000,Approved,32200
1285,2,Graduate,No,700,2600,20,489,200,400,4800,1800,Approved,7200
1286,4,Not Graduate,Yes,3100,8600,14,427,6200,7600,19800,7400,Approved,41000
1287,0,Graduate,Yes,4500,10500,20,417,19600,4000,19200,11600,Approved,54400
1288,5,Not Graduate,Yes,8900,24800,18,842,32400,10000,40000,16200,Approved,98600
1289,3,Not Graduate,No,5900,23200,2,307,31000,20000,42200,12600,Approved,105800
1290,2,Not Graduate,No,1500,4500,18,428,9000,2400,11200,2200,Approved,24800
1291,4,Not Graduate,Yes,6300,15200,16,415,31000,3600,41400,15800,Approved,91800
1292,3,Not Graduate,Yes,6500,18200,20,405,20800,5600,42600,13400,Approved,82400
1293,4,Graduate,No,8000,31500,18,683,20600,15800,60200,19200,Approved,115800
1294,1,Graduate,Yes,3300,10600,14,742,600,1200,16800,9000,Approved,27600
1295,4,Not Graduate,No,3900,10000,10,530,21800,400,24600,3800,Approved,50600
1296,3,Graduate,No,1600,3500,10,844,9000,4400,10400,3200,Approved,27000
1297,2,Not Graduate,Yes,3900,13900,18,715,10000,11200,19800,4200,Approved,45200
1298,3,Graduate,Yes,8000,26300,12,476,43400,13200,32800,18000,Approved,107400
1299,2,Graduate,No,2200,4800,6,721,3600,200,13800,4400,Approved,22000
1300,4,Not Graduate,No,7600,30300,12,339,40800,16000,44400,11600,Rejected,112800
1301,5,Not Graduate,Yes,2700,6800,6,461,9000,4000,16400,3400,Approved,32800
1302,2,Graduate,Yes,6300,23200,12,556,14000,16600,48400,10600,Approved,89600
1303,3,Not Graduate,No,7700,18700,8,483,30200,11200,49200,20400,Approved,111000
1304,2,Graduate,No,4500,17200,18,406,8200,12600,27600,6600,Approved,55000
1305,2,Graduate,Yes,9400,24800,14,513,48400,36400,74400,15000,Approved,174200
1306,0,Not Graduate,No,4600,12600,16,574,6800,12400,30200,7200,Approved,56600
1307,0,Graduate,Yes,5200,15700,6,692,7600,14000,25600,11000,Approved,58200
1308,5,Graduate,Yes,8000,29800,18,867,35400,28200,45600,18400,Approved,127600
1309,1,Not Graduate,Yes,9900,38500,2,875,39200,5800,40400,13000,Rejected,98400
1310,4,Graduate,Yes,8500,18600,10,597,33200,6400,42000,23200,Approved,104800
1311,2,Graduate,Yes,4900,12000,20,513,28400,16200,36600,9600,Approved,90800
1312,3,Graduate,Yes,7000,24200,2,354,36400,14000,31800,15800,Approved,98000
1313,2,Not Graduate,No,9600,25900,18,647,23600,19800,71200,23000,Approved,137600
1314,1,Graduate,No,9700,23700,6,875,23000,28800,76200,20800,Approved,148800
1315,1,Graduate,No,6200,14300,20,819,15000,23400,33400,8600,Approved,80400
1316,4,Not Graduate,Yes,4100,9600,10,521,23800,14200,28200,9800,Approved,76000
1317,0,Graduate,Yes,6100,19900,20,761,9000,7400,25400,14200,Approved,56000
1318,0,Graduate,No,700,1900,18,572,2800,2000,4000,600,Approved,9400
1319,3,Graduate,No,6400,24100,12,571,38000,23000,26400,15000,Approved,102400
1320,4,Graduate,Yes,3800,7800,20,891,9200,14000,28600,6600,Approved,58400
1321,1,Not Graduate,No,4900,14800,12,895,17200,16400,36600,10400,Approved,80600
1322,2,Graduate,No,2100,6600,20,580,7600,8200,12400,4200,Approved,32400
1323,2,Graduate,No,6200,23400,8,605,20000,21600,43600,18400,Approved,103600
1324,4,Not Graduate,No,1600,5100,8,705,4800,1600,10200,3800,Approved,20400
1325,1,Not Graduate,Yes,1300,5000,20,423,1800,1600,7800,3200,Approved,14400
1326,5,Not Graduate,Yes,7300,22500,2,846,19600,9400,40600,11400,Rejected,81000
1327,2,Not Graduate,No,2100,5000,4,542,1400,1200,13200,6200,Approved,22000
1328,5,Not Graduate,No,600,2400,18,631,1200,600,4200,1800,Approved,7800
1329,4,Graduate,No,7000,24500,18,318,8600,3400,32600,7200,Rejected,51800
1330,1,Not Graduate,Yes,3000,6800,10,541,11600,11400,21400,5800,Approved,50200
1331,1,Graduate,No,900,2900,20,782,0,3000,7000,1600,Approved,11600
1332,2,Graduate,No,9600,35000,2,888,25200,13000,75800,11600,Rejected,125600
1333,0,Graduate,No,1500,3600,14,747,400,2800,6000,2400,Approved,11600
1334,0,Graduate,Yes,5000,18900,6,641,8600,17000,39200,13400,Approved,78200
1335,3,Graduate,Yes,500,1700,4,640,800,1400,2600,400,Approved,5200
1336,4,Not Graduate,No,7600,28100,12,324,25000,17000,39800,22200,Rejected,104000
1337,4,Graduate,No,5500,21200,20,359,8400,10600,37200,12800,Rejected,69000
1338,0,Not Graduate,Yes,6600,23300,12,338,4800,1600,37800,18600,Rejected,62800
1339,0,Graduate,No,1400,3200,14,384,6200,1600,6800,4000,Rejected,18600
1340,5,Not Graduate,Yes,8800,26600,16,545,38200,33200,60800,15200,Approved,147400
1341,5,Not Graduate,No,6200,24200,18,610,20400,15600,39200,16600,Approved,91800
1342,2,Graduate,Yes,8300,27900,18,840,25200,7000,38200,18400,Approved,88800
1343,3,Not Graduate,No,2400,8100,6,630,10200,5800,18200,4600,Approved,38800
1344,1,Graduate,No,9100,31200,4,508,25600,23400,62200,15600,Approved,126800
1345,0,Not Graduate,Yes,9500,34900,4,535,1600,28200,51200,28000,Approved,109000
1346,1,Graduate,No,1200,3400,20,717,6200,3000,5000,1800,Approved,16000
1347,2,Graduate,Yes,7700,19300,8,735,2400,3800,47600,20800,Approved,74600
1348,5,Graduate,Yes,7800,22000,20,528,11600,17600,49400,9800,Approved,88400
1349,0,Graduate,Yes,9400,20000,4,350,6600,2800,74400,9400,Rejected,93200
1350,0,Not Graduate,No,1700,5700,12,422,6800,2200,13000,1800,Approved,23800
1351,5,Graduate,No,4000,13700,6,496,-200,2800,31600,7400,Approved,41600
1352,4,Not Graduate,No,4200,15500,18,794,14600,1400,26800,4400,Approved,47200
1353,2,Graduate,No,2400,7700,6,719,12000,3400,13400,3200,Approved,32000
1354,3,Not Graduate,Yes,2700,6100,14,630,7800,5600,21200,4600,Approved,39200
1355,3,Not Graduate,Yes,600,1800,4,843,2800,600,3400,800,Approved,7600
1356,2,Graduate,No,4600,15600,2,764,15400,3000,32000,11600,Rejected,62000
1357,3,Graduate,No,7200,17700,4,662,26200,23000,32600,10600,Approved,92400
1358,0,Not Graduate,No,4700,15500,16,311,25600,400,35000,5400,Rejected,66400
1359,4,Not Graduate,No,4300,10100,2,606,19800,3600,17800,11000,Rejected,52200
1360,5,Graduate,No,4700,10200,16,874,21600,15400,22200,14000,Approved,73200
1361,4,Not Graduate,Yes,8700,30000,4,370,35200,31200,69200,24200,Approved,159800
1362,1,Graduate,No,7000,20500,10,414,39400,15000,41400,10200,Approved,106000
1363,2,Not Graduate,No,600,1100,10,800,2400,400,4600,1800,Approved,9200
1364,1,Not Graduate,No,6800,16900,12,779,27600,20400,46800,8800,Approved,103600
1365,1,Not Graduate,No,6400,14100,20,553,23400,9000,40000,7200,Approved,79600
1366,4,Not Graduate,No,7600,29900,18,445,9600,27800,36800,11400,Approved,85600
1367,3,Not Graduate,No,9000,21400,8,496,32800,14600,63600,25000,Approved,136000
1368,0,Graduate,Yes,2400,5900,10,650,10200,7400,10600,4600,Approved,32800
1369,3,Not Graduate,No,6800,17900,6,783,40000,19600,47200,11000,Approved,117800
1370,5,Graduate,Yes,3500,13500,10,535,6200,11400,25000,6200,Approved,48800
1371,4,Graduate,Yes,8900,34000,20,415,27000,6200,67200,25600,Approved,126000
1372,0,Not Graduate,No,6000,15300,8,709,17800,3400,32800,7000,Approved,61000
1373,3,Not Graduate,No,700,2500,14,819,3200,2000,4200,1800,Approved,11200
1374,0,Not Graduate,Yes,6800,17300,18,841,21000,17200,32000,17400,Approved,87600
1375,4,Not Graduate,Yes,5300,10700,12,700,31600,3800,41000,5800,Approved,82200
1376,1,Graduate,Yes,1400,4200,4,881,5600,2400,10200,2600,Approved,20800
1377,2,Graduate,Yes,1400,4600,4,804,3800,4400,10400,1400,Approved,20000
1378,4,Not Graduate,No,9200,21700,6,653,45400,9200,58800,17200,Approved,130600
1379,1,Graduate,Yes,7900,29200,2,663,39200,24200,57200,20200,Rejected,140800
1380,0,Not Graduate,No,4500,17500,10,495,20600,7000,19400,12400,Approved,59400
1381,1,Not Graduate,No,3800,9800,8,335,200,10200,28400,3600,Rejected,42400
1382,5,Graduate,Yes,1500,4900,6,618,6800,2000,6400,1800,Approved,17000
1383,3,Not Graduate,No,1200,2400,12,480,6000,200,6200,3400,Approved,15800
1384,4,Not Graduate,No,1700,4900,18,843,9600,4400,12400,3600,Approved,30000
1385,4,Graduate,No,5200,14100,16,483,23600,1600,38400,5400,Approved,69000
1386,1,Not Graduate,No,1600,5100,12,548,4400,5400,7200,1600,Approved,18600
1387,4,Graduate,Yes,6600,16000,16,379,13000,25200,49400,9000,Rejected,96600
1388,5,Not Graduate,Yes,9400,26600,20,771,20400,25200,73800,23400,Approved,142800
1389,4,Graduate,Yes,300,500,2,353,1200,200,2400,800,Rejected,4600
1390,5,Not Graduate,No,4600,11500,16,668,13000,6200,20400,11000,Approved,50600
1391,3,Not Graduate,Yes,6100,21300,2,387,14200,6200,32600,8200,Approved,61200
1392,0,Not Graduate,Yes,1500,4100,12,789,7200,3200,11600,2600,Approved,24600
1393,0,Graduate,Yes,400,900,2,855,-200,1000,2600,800,Rejected,4200
1394,0,Not Graduate,No,8700,33600,14,751,14200,27400,45600,14000,Approved,101200
1395,3,Not Graduate,No,7000,21600,12,739,3200,15200,49000,16800,Approved,84200
1396,4,Graduate,No,4700,13100,14,492,2000,9000,28200,12800,Approved,52000
1397,4,Not Graduate,Yes,7600,23800,16,896,7400,9000,30800,12800,Approved,60000
1398,1,Not Graduate,Yes,9200,24500,4,545,51400,0,41200,26600,Approved,119200
1399,5,Not Graduate,No,9400,36800,20,891,27800,33200,38600,17800,Approved,117400
1400,0,Graduate,No,4800,15100,6,848,2600,600,37600,7000,Approved,47800
1401,3,Not Graduate,Yes,600,2400,12,884,1200,1600,2800,1200,Approved,6800
1402,3,Graduate,Yes,4900,14300,14,439,20600,11200,34800,10200,Approved,76800
1403,3,Graduate,Yes,3300,8500,12,586,15000,10200,15600,7800,Approved,48600
1404,3,Graduate,Yes,9100,18800,20,308,29000,20400,41000,9600,Rejected,100000
1405,5,Graduate,No,6100,23500,16,300,600,1400,45600,9600,Rejected,57200
1406,3,Graduate,Yes,8400,19600,2,741,43000,400,37400,16600,Rejected,97400
1407,4,Graduate,No,7900,31400,8,698,33000,22800,57400,10200,Approved,123400
1408,2,Not Graduate,Yes,6100,22300,10,733,24200,19400,34400,11200,Approved,89200
1409,3,Not Graduate,Yes,2000,4200,16,571,3400,7800,11600,2600,Approved,25400
1410,3,Graduate,Yes,9900,29900,20,490,21000,18200,54200,14800,Approved,108200
1411,2,Not Graduate,No,9500,25400,16,451,38000,5800,67600,22800,Approved,134200
1412,4,Graduate,Yes,1900,6800,6,559,7200,4400,12400,2400,Approved,26400
1413,4,Graduate,Yes,6900,21400,10,577,25000,4400,29800,12600,Approved,71800
1414,2,Not Graduate,Yes,1500,5000,4,613,8800,2600,10400,4200,Approved,26000
1415,4,Not Graduate,No,1900,3800,20,785,2000,1200,12200,3000,Approved,18400
1416,0,Graduate,Yes,2300,6000,8,690,11000,5800,12000,4000,Approved,32800
1417,2,Not Graduate,No,7800,17100,14,351,38000,14400,38600,14200,Rejected,105200
1418,4,Not Graduate,No,400,1000,10,447,0,600,1800,600,Approved,3000
1419,0,Graduate,Yes,9400,19200,20,708,42400,32600,46800,26400,Approved,148200
1420,2,Graduate,No,9100,21700,12,549,51000,22000,69400,24400,Approved,166800
1421,1,Graduate,Yes,9000,18800,8,797,8200,18800,45800,15000,Approved,87800
1422,4,Not Graduate,No,7100,14300,14,537,27400,20800,36400,12200,Approved,96800
1423,3,Graduate,No,800,2500,12,828,3400,0,3000,1400,Approved,7800
1424,0,Graduate,Yes,4500,9600,14,471,6400,15400,22000,7200,Approved,51000
1425,5,Graduate,No,8500,25400,4,336,17000,2400,61200,18000,Rejected,98600
1426,3,Not Graduate,Yes,2500,9800,16,424,9400,6400,11600,2600,Approved,30000
1427,2,Graduate,No,1500,3300,18,440,1600,4600,6000,3600,Approved,15800
1428,0,Not Graduate,No,6200,17300,8,583,7400,7800,27200,6600,Approved,49000
1429,1,Not Graduate,Yes,1300,2900,6,480,5800,600,5800,2800,Approved,15000
1430,5,Not Graduate,No,6600,25800,10,670,9200,14400,41200,17000,Approved,81800
1431,0,Graduate,Yes,5300,13700,6,329,17600,15200,22400,5600,Rejected,60800
1432,5,Not Graduate,No,1400,3000,6,754,7000,5400,10600,2800,Approved,25800
1433,2,Not Graduate,Yes,2900,7800,18,588,800,200,23200,8400,Approved,32600
1434,3,Not Graduate,No,6500,16500,4,551,10600,1600,37000,15200,Approved,64400
1435,3,Graduate,No,8300,18900,4,316,40400,19400,42600,16400,Rejected,118800
1436,2,Not Graduate,Yes,8900,32200,12,382,0,22600,41000,10800,Rejected,74400
1437,3,Graduate,No,5300,15000,6,717,14000,8200,34200,10600,Approved,67000
1438,0,Graduate,No,2800,7300,6,676,7000,4400,11400,6400,Approved,29200
1439,1,Not Graduate,No,8000,27800,6,667,12000,25200,45000,19800,Approved,102000
1440,3,Not Graduate,No,3900,10500,20,821,3200,12600,22000,7800,Approved,45600
1441,0,Graduate,No,6200,20100,20,345,18600,11800,34800,8200,Rejected,73400
1442,3,Not Graduate,Yes,5900,19200,10,442,19000,1000,36600,9400,Approved,66000
1443,1,Graduate,Yes,6000,23300,12,672,4000,22600,39200,12800,Approved,78600
1444,3,Not Graduate,Yes,9100,29300,2,508,38000,10200,63200,23800,Approved,135200
1445,5,Graduate,Yes,3400,12300,10,615,14000,3200,22800,7000,Approved,47000
1446,1,Graduate,Yes,1800,4400,8,689,6400,5000,7600,3200,Approved,22200
1447,1,Graduate,No,300,1200,18,747,200,0,1400,400,Rejected,2000
1448,1,Graduate,Yes,9000,22800,10,412,0,31200,64000,9400,Approved,104600
1449,1,Graduate,No,6400,16900,2,703,12600,14600,31800,14800,Rejected,73800
1450,5,Not Graduate,No,5800,22200,16,884,2400,9600,39000,17000,Approved,68000
1451,5,Graduate,Yes,2600,8600,18,651,2000,200,15600,5200,Approved,23000
1452,4,Not Graduate,No,6600,17300,14,793,33400,2800,35000,7800,Approved,79000
1453,2,Not Graduate,No,6100,21800,4,407,19600,200,40400,11600,Approved,71800
1454,2,Not Graduate,No,4100,11100,8,390,1600,6200,20200,6800,Rejected,34800
1455,3,Not Graduate,Yes,300,1000,12,469,1200,800,1400,600,Approved,4000
1456,4,Graduate,No,4700,10400,6,373,13600,17200,28600,10800,Rejected,70200
1457,4,Graduate,Yes,1500,5800,2,304,4800,3200,6600,2800,Approved,17400
1458,5,Not Graduate,No,2700,8300,8,833,9200,2600,13600,6600,Approved,32000
1459,2,Graduate,No,6900,20900,2,302,37400,21400,53800,18400,Approved,131000
1460,0,Graduate,No,7600,28700,6,397,22000,26400,49200,7600,Rejected,105200
1461,1,Graduate,No,4100,10000,6,891,9800,600,25200,7200,Approved,42800
1462,3,Not Graduate,No,4100,12200,2,457,1400,1000,28200,9800,Approved,40400
1463,4,Not Graduate,No,1600,3200,16,657,400,200,11400,2400,Approved,14400
1464,2,Not Graduate,Yes,400,1400,2,480,400,1400,3200,400,Approved,5400
1465,5,Graduate,Yes,4400,17300,20,840,7200,10200,25800,4600,Approved,47800
1466,2,Not Graduate,Yes,3800,8000,12,866,12000,1200,16800,3800,Approved,33800
1467,0,Not Graduate,No,4300,17000,8,619,8200,13200,34200,7800,Approved,63400
1468,1,Graduate,Yes,9000,33500,2,748,15800,19600,51400,23000,Rejected,109800
1469,3,Not Graduate,Yes,9500,25500,12,881,54000,28200,43200,17800,Approved,143200
1470,2,Graduate,Yes,6900,13900,8,829,28600,16200,44800,9200,Approved,98800
1471,3,Not Graduate,No,4300,11100,6,312,9600,7600,20200,6600,Rejected,44000
1472,3,Not Graduate,No,6600,21400,10,467,30400,12000,40600,10400,Approved,93400
1473,1,Graduate,Yes,5200,14300,18,650,10800,4600,35200,7200,Approved,57800
1474,3,Graduate,Yes,400,1100,6,711,200,600,2800,200,Approved,3800
1475,4,Not Graduate,No,1300,4100,18,886,5600,1000,7600,1200,Approved,15400
1476,5,Not Graduate,No,9700,28400,4,494,10600,24000,48800,20000,Approved,103400
1477,2,Graduate,Yes,5400,10900,14,741,2600,12000,40800,11200,Approved,66600
1478,4,Not Graduate,No,1200,3300,12,876,800,200,7600,2000,Approved,10600
1479,0,Graduate,Yes,7000,26400,14,610,28600,0,27800,10600,Approved,67000
1480,5,Graduate,No,7600,26000,6,778,25800,4800,51000,21800,Approved,103400
1481,5,Graduate,Yes,700,1800,14,571,400,800,3800,800,Approved,5800
1482,3,Graduate,Yes,7500,25100,18,554,25000,15800,57000,9400,Approved,107200
1483,0,Not Graduate,Yes,2300,6200,8,712,13600,3400,17600,3000,Approved,37600
1484,5,Not Graduate,Yes,5600,11500,4,695,19000,14200,23400,15600,Approved,72200
1485,0,Not Graduate,Yes,5400,10900,20,366,7400,1000,42000,9600,Rejected,60000
1486,1,Not Graduate,Yes,1800,5500,10,426,10000,3000,11800,3200,Approved,28000
1487,0,Not Graduate,No,2900,6900,10,320,10200,1000,15400,3000,Rejected,29600
1488,3,Not Graduate,Yes,1400,4600,8,543,3000,2400,5400,4000,Approved,14800
1489,2,Graduate,No,2800,11000,16,525,16400,3600,11600,4800,Approved,36400
1490,0,Not Graduate,Yes,3300,13100,12,812,9600,9800,15000,8600,Approved,43000
1491,0,Not Graduate,No,7000,25300,14,697,30200,20800,28600,13400,Approved,93000
1492,1,Not Graduate,No,3900,15100,12,527,21200,10200,22200,7600,Approved,61200
1493,1,Not Graduate,No,5700,17200,4,512,8600,14000,42800,6000,Approved,71400
1494,0,Graduate,No,4100,9200,4,671,6800,12600,20800,9800,Approved,50000
1495,1,Graduate,Yes,2200,8700,20,539,2000,8000,16400,5200,Approved,31600
1496,5,Not Graduate,No,2200,7200,10,532,5400,600,15000,3200,Approved,24200
1497,3,Not Graduate,Yes,2500,7700,16,485,4000,7200,11200,6400,Approved,28800
1498,0,Not Graduate,Yes,900,2100,6,521,200,3400,4200,1400,Approved,9200
1499,1,Not Graduate,No,2900,7400,10,874,800,2400,20200,6600,Approved,30000
1500,2,Not Graduate,No,9800,22900,10,788,2600,20600,54400,28000,Approved,105600
1501,2,Not Graduate,No,5200,14800,12,659,23000,10400,36200,8200,Approved,77800
1502,1,Graduate,Yes,8600,19600,16,498,29600,6000,42000,10600,Approved,88200
1503,2,Graduate,Yes,4800,13200,20,310,23600,9200,25800,8400,Rejected,67000
1504,0,Graduate,No,2000,4700,6,785,5800,3600,13400,3400,Approved,26200
1505,0,Graduate,No,3600,8700,10,309,12600,2000,17200,6600,Rejected,38400
1506,3,Not Graduate,Yes,5300,19600,2,433,29400,19800,21600,6000,Approved,76800
1507,1,Not Graduate,Yes,400,1300,18,801,200,0,3000,1200,Approved,4400
1508,3,Graduate,Yes,6500,22400,6,488,33600,23400,43400,13600,Approved,114000
1509,0,Not Graduate,Yes,2300,6000,16,756,5800,4200,15000,2400,Approved,27400
1510,3,Graduate,No,1000,2800,4,757,5000,200,7600,1800,Approved,14600
1511,5,Not Graduate,No,3200,10100,6,828,17000,12000,17400,6000,Approved,52400
1512,3,Graduate,Yes,3400,7200,12,733,9600,5400,16200,4400,Approved,35600
